'Fecha', 'Hora', 'Segundos', 'Latencia (ms)', 'Download (Mbit/s)', 'Upload (Mbit/s)'
'25/06/2014 17:30:15', '1403735415', '20,027', '10,29', '2,02'
'25/06/2014 17:40:21', '1403736021', '17,564', '10,31', '2,05'
'25/06/2014 17:50:09', '1403736609', '18,676', '10,24', '2,07'
'25/06/2014 18:00:16', '1403737216', '19,391', '10,20', '2,07'
'25/06/2014 18:10:26', '1403737826', '17,643', '10,21', '1,76'
'25/06/2014 18:20:28', '1403738428', '21,458', '9,44', '1,98'
'25/06/2014 18:24:13', '1403738653', '25,908', '10,11', '2,07'
'25/06/2014 18:25:15', '1403738715', '13,192', '10,29', '2,08'
'25/06/2014 18:26:14', '1403738774', '12,954', '10,31', '2,07'
'25/06/2014 18:38:24', '1403739504', '19,391', '10,29', '2,03'
'25/06/2014 18:45:33', '1403739933', '19,709', '10,20', '2,02'
'25/06/2014 18:50:11', '1403740211', '20,345', '10,29', '2,07'
'25/06/2014 18:53:05', '1403740385', '19,391', '10,05', '2,07'
'25/06/2014 18:54:28', '1403740468', '17,722', '10,30', '2,07'
'25/06/2014 18:55:23', '1403740523', '18,994', '9,98', '2,05'
'25/06/2014 18:56:30', '1403740590', '27,339', '0,67', '2,06'
'25/06/2014 19:16:36', '1403741796', '19,073', '9,85', '2,07'
'25/06/2014 19:17:39', '1403741859', '18,358', '10,28', '2,07'
'25/06/2014 19:18:42', '1403741922', '16,371', '10,30', '2,06'
'25/06/2014 19:19:34', '1403741974', '16,371', '10,28', '2,03'
'25/06/2014 19:20:24', '1403742024', '15,338', '10,29', '2,06'
'25/06/2014 19:21:37', '1403742097', '15,736', '10,30', '2,07'
'25/06/2014 19:22:22', '1403742142', '17,007', '10,12', '2,07'
'25/06/2014 19:23:26', '1403742206', '17,246', '9,66', '2,05'
'25/06/2014 19:24:07', '1403742247', '20,345', '10,26', '2,07'
'25/06/2014 19:25:08', '1403742308', '16,61', '10,27', '2,01'
'25/06/2014 19:26:24', '1403742384', '18,358', '9,06', '1,98'
'25/06/2014 19:27:12', '1403742432', '23,286', '10,28', '2,06'
'25/06/2014 19:28:21', '1403742501', '19,55', '10,26', '2,07'
'25/06/2014 19:29:00', '1403742540', '16,53', '10,30', '2,06'
'25/06/2014 19:30:18', '1403742618', '18,994', '8,75', '1,97'
'25/06/2014 19:31:30', '1403742690', '20,345', '10,27', '2,06'
'25/06/2014 19:32:30', '1403742750', '15,974', '10,19', '2,07'
